key_resp_instr_a.keys,key_resp_instr_a.rt,key_resp_instr_b.keys,key_resp_instr_b.rt,dummy.thisRepN,dummy.thisTrialN,dummy.thisN,dummy.thisIndex,dummy.ran,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instr1.keys,key_resp_instr1.rt,key_resp.keys,key_resp.rt,exp_loop.thisRepN,exp_loop.thisTrialN,exp_loop.thisN,exp_loop.thisIndex,exp_loop.ran,Word,English,Flip,Path,Audio,key_resp_instr2.keys,key_resp_instr2.rt,key_resp_fct.keys,key_resp_fct.corr,key_resp_fct.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,fct_loop.thisRepN,fct_loop.thisTrialN,fct_loop.thisN,fct_loop.thisIndex,fct_loop.ran,left_img,word,right_img,correctans,correct_img,audio,incorrect_feedback,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_instr3.keys,key_resp_instr3.rt,textbox.text,key_resp_2.keys,key_resp_2.rt,fb_yn.thisRepN,fb_yn.thisTrialN,fb_yn.thisN,fb_yn.thisIndex,fb_yn.ran,gather_loop.thisRepN,gather_loop.thisTrialN,gather_loop.thisN,gather_loop.thisIndex,gather_loop.ran,Text,Wordbank,key_resp_instr4.keys,key_resp_instr4.rt,master_loop.thisRepN,master_loop.thisTrialN,master_loop.thisN,master_loop.thisIndex,master_loop.ran,exposure_file,instr_1,exp_reps,fct_file,instr_2,gather_file,gather_reps,instr_3,fReps,instr_4,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,NegVSentence,VNegSentence,NegTF
space,2.039,space,7.206,0,0,0,0,1,R_3KxfruZ3vioZy1r,2022-06-26_02h56.21.377,jpn_C01,2022.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_3KxfruZ3vioZy1r,2022-06-26_02h56.21.377,jpn_C01,2022.1.2,MacIntel,62.5,space,15.555,space,3.59,0,0,0,2,1,ホレト,chef,,CartoonStims/chef_r.jpg,audio/horeto.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_3KxfruZ3vioZy1r,2022-06-26_02h56.21.377,jpn_C01,2022.1.2,MacIntel,62.5,,,space,6.46,0,1,1,1,1,ルピン,burglar,,CartoonStims/burglar_r.jpg,audio/lupin.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_3KxfruZ3vioZy1r,2022-06-26_02h56.21.377,jpn_C01,2022.1.2,MacIntel,62.5,,,space,3.482,0,2,2,5,1,ドキ,boxer,,CartoonStims/boxer_r.jpg,audio/doki.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_3KxfruZ3vioZy1r,2022-06-26_02h56.21.377,jpn_C01,2022.1.2,MacIntel,62.5,,,space,3.886,0,3,3,0,1,シド,artist,,CartoonStims/artist_r.jpg,audio/sido.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_3KxfruZ3vioZy1r,2022-06-26_02h56.21.377,jpn_C01,2022.1.2,MacIntel,62.5,,,space,3.799,0,4,4,4,1,ピポ,doctor,,CartoonStims/doctor_r.jpg,audio/pipo.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_3KxfruZ3vioZy1r,2022-06-26_02h56.21.377,jpn_C01,2022.1.2,MacIntel,62.5,,,space,2.223,0,5,5,3,1,ムク,cowboy,,CartoonStims/cowboy_r.jpg,audio/muku.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_3KxfruZ3vioZy1r,2022-06-26_02h56.21.377,jpn_C01,2022.1.2,MacIntel,62.5,,,space,3.015,1,0,6,4,1,ピポ,doctor,,CartoonStims/doctor_r.jpg,audio/pipo.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_3KxfruZ3vioZy1r,2022-06-26_02h56.21.377,jpn_C01,2022.1.2,MacIntel,62.5,,,space,1.87,1,1,7,2,1,ホレト,chef,,CartoonStims/chef_r.jpg,audio/horeto.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_3KxfruZ3vioZy1r,2022-06-26_02h56.21.377,jpn_C01,2022.1.2,MacIntel,62.5,,,space,0.767,1,2,8,0,1,シド,artist,,CartoonStims/artist_r.jpg,audio/sido.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_3KxfruZ3vioZy1r,2022-06-26_02h56.21.377,jpn_C01,2022.1.2,MacIntel,62.5,,,space,0.396,1,3,9,1,1,ルピン,burglar,,CartoonStims/burglar_r.jpg,audio/lupin.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_3KxfruZ3vioZy1r,2022-06-26_02h56.21.377,jpn_C01,2022.1.2,MacIntel,62.5,,,space,1,1,4,10,5,1,ドキ,boxer,,CartoonStims/boxer_r.jpg,audio/doki.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_3KxfruZ3vioZy1r,2022-06-26_02h56.21.377,jpn_C01,2022.1.2,MacIntel,62.5,,,space,0.677,1,5,11,3,1,ムク,cowboy,,CartoonStims/cowboy_r.jpg,audio/muku.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_3KxfruZ3vioZy1r,2022-06-26_02h56.21.377,jpn_C01,2022.1.2,MacIntel,62.5,,,space,0.187,2,0,12,1,1,ルピン,burglar,,CartoonStims/burglar_r.jpg,audio/lupin.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_3KxfruZ3vioZy1r,2022-06-26_02h56.21.377,jpn_C01,2022.1.2,MacIntel,62.5,,,space,0.121,2,1,13,2,1,ホレト,chef,,CartoonStims/chef_r.jpg,audio/horeto.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_3KxfruZ3vioZy1r,2022-06-26_02h56.21.377,jpn_C01,2022.1.2,MacIntel,62.5,,,space,0.037,2,2,14,5,1,ドキ,boxer,,CartoonStims/boxer_r.jpg,audio/doki.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_3KxfruZ3vioZy1r,2022-06-26_02h56.21.377,jpn_C01,2022.1.2,MacIntel,62.5,,,space,10.67,2,3,15,3,1,ムク,cowboy,,CartoonStims/cowboy_r.jpg,audio/muku.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_3KxfruZ3vioZy1r,2022-06-26_02h56.21.377,jpn_C01,2022.1.2,MacIntel,62.5,,,space,0.687,2,4,16,4,1,ピポ,doctor,,CartoonStims/doctor_r.jpg,audio/pipo.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_3KxfruZ3vioZy1r,2022-06-26_02h56.21.377,jpn_C01,2022.1.2,MacIntel,62.5,,,space,0.139,2,5,17,0,1,シド,artist,,CartoonStims/artist_r.jpg,audio/sido.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_3KxfruZ3vioZy1r,2022-06-26_02h56.21.377,jpn_C01,2022.1.2,MacIntel,62.5,,,,,,,,,,,,,,,space,7.267,right,1,1.122,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_3KxfruZ3vioZy1r,2022-06-26_02h56.21.377,jpn_C01,2022.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,9,1,CartoonStims/boxer_r.jpg,ムク,CartoonStims/cowboy_r.jpg,right,CartoonStims/cowboy_r.jpg,audio/muku.mp3,残念！ こちらが正しい画像です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_3KxfruZ3vioZy1r,2022-06-26_02h56.21.377,jpn_C01,2022.1.2,MacIntel,62.5,,,,,,,,,,,,,,,,,right,1,1.451,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
